title,price,image_urls,discount,images
Ikall </br>Smartphones,"₹6,989",https://cdn.shopclues.com/images1/thumbnails/113040/280/1/151938797-113040784-1611993235.jpg,17% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113040/280/1/151938797-113040784-1611993235.jpg', 'path': 'full/7495f811741b3dd09f29d4ba381320dda61461b4.jpg', 'checksum': '68df1c686de3231df3684ed43e05065c', 'status': 'downloaded'}]"
Tecno Spark Go 2021 Assorted Colour 2 GB ROM 32 GB RAM 5000 mAh Battery 6.52 inch Display,"₹8,600",https://cdn.shopclues.com/images1/thumbnails/113546/280/1/152136968-113546662-1617177292.jpg,13% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113546/280/1/152136968-113546662-1617177292.jpg', 'path': 'full/95d2792c9c2b9d8369a4d6c3a85a15744c249ef1.jpg', 'checksum': '786b1d2c8cadc884c594351863cf33ee', 'status': 'downloaded'}]"
Redmi 9A 2GB 32GB (Nature Green),"₹13,499                                             ",https://cdn.shopclues.com/images1/thumbnails/114525/280/1/152441477-114525510-1625043802.jpg,9% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/114525/280/1/152441477-114525510-1625043802.jpg', 'path': 'full/728f570c402af781a869cdd3d505551b69e27d5a.jpg', 'checksum': 'a5f4ab599fee82009e66edf3ebe014f6', 'status': 'downloaded'}]"
"OPPO A54 (4 GB RAM, 64 GB ROM)","₹7,400                                             ",https://cdn.shopclues.com/images1/thumbnails/114531/280/1/152444812-114531915-1625125541.jpg,13% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/114531/280/1/152444812-114531915-1625125541.jpg', 'path': 'full/cd61dc584e37fd393ef76e7b25d406b0497b98ed.jpg', 'checksum': '4c6b9725e373607b518125111e661f0f', 'status': 'downloaded'}]"
Redmi 9 Power 64 GB 4 GB RAM (Mighty Black),"₹12,099                                             ",https://cdn.shopclues.com/images1/thumbnails/115084/280/1/152645346-115084893-1630060200.jpg,17% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/115084/280/1/152645346-115084893-1630060200.jpg', 'path': 'full/3562a52699cad8f24d633ca18a3088f02d1ff277.jpg', 'checksum': '9f2760cc12a6c5e4c7424bc0a4af1c0e', 'status': 'downloaded'}]"
Jivi 4G Smartphones</br>Starting @ Rs 699*,"₹8,669",https://cdn.shopclues.com/images1/thumbnails/113794/280/1/152213252-113794193-1619002101.jpg,9% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113794/280/1/152213252-113794193-1619002101.jpg', 'path': 'full/c4713d14c7e21ab6428415303f5bcc7ba48cc382.jpg', 'checksum': 'b53d8900323b8a37195a3d85be17176f', 'status': 'downloaded'}]"
"YU EUREKA NOTE MOBILE YU6000 3 GB 15 GB  (Black, 16 GB)  (3 GB RAM)","₹8,399",https://cdn.shopclues.com/images1/thumbnails/113508/280/1/152122375-113508229-1616752923.jpg,13% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113508/280/1/152122375-113508229-1616752923.jpg', 'path': 'full/2bd2d9e157638177fbb0492b6af9f32a68659d6c.jpg', 'checksum': 'a813ab31853b2323b5680b3c502c8f54', 'status': 'downloaded'}]"
Mobiistar </br>Starting @ Rs 4329,"₹7,469                                             ",https://cdn.shopclues.com/images1/thumbnails/111755/280/1/151312185-111755373-1627910017.jpg,14% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/111755/280/1/151312185-111755373-1627910017.jpg', 'path': 'full/41162356159eb2fe202dd5cf494009df19bfaacd.jpg', 'checksum': '11a19e22fa343aa4e56c28ecb100c7e0', 'status': 'downloaded'}]"
High Performance</br>Phones,"₹7,199                                             ",https://cdn.shopclues.com/images1/thumbnails/114939/280/1/152600299-114939577-1628503169.jpg,17% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/114939/280/1/152600299-114939577-1628503169.jpg', 'path': 'full/bd73852478478768093e523f87246b8bdc85fc81.jpg', 'checksum': 'e02c7e8a0b0e28ad35e489308f0599d0', 'status': 'downloaded'}]"
"Realme C25s (4 GB RAM, 128 GB ROM)","₹13,100",https://cdn.shopclues.com/images1/thumbnails/112501/280/1/151692629-112501759-1608384980.jpg,14% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/112501/280/1/151692629-112501759-1608384980.jpg', 'path': 'full/dd772000da4ea237a6bd9eb1b7e958401a8b5792.jpg', 'checksum': '4c38e40e3ebc707d17f5053201cdd3ce', 'status': 'downloaded'}]"
Redmi 9A 2GB 32GB (Midnight Black),"₹11,999                                             ",https://cdn.shopclues.com/images1/thumbnails/113454/280/1/152102307-113454612-1616069599.jpg,31% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113454/280/1/152102307-113454612-1616069599.jpg', 'path': 'full/ab350ee41cb2bb6adb47efaa6a48070d8409c00c.jpg', 'checksum': '42015654f07ebfeff8a82751679c6ad8', 'status': 'downloaded'}]"
Redmi 9A 3GB 32GB (Assorted),"₹13,199",https://cdn.shopclues.com/images1/thumbnails/113772/280/1/152206322-113772369-1618559720.jpg,14% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113772/280/1/152206322-113772369-1618559720.jpg', 'path': 'full/859d81c2b27ebc7510fb4fd3ed3191e9e776a280.jpg', 'checksum': '39d7fabf0a47466e5d4139631221ea17', 'status': 'downloaded'}]"
Redmi 9A 2 GB Ram 32 GB ROM,"₹14,699",https://cdn.shopclues.com/images1/thumbnails/113040/280/1/151938763-113040660-1611992506.jpg,14% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113040/280/1/151938763-113040660-1611992506.jpg', 'path': 'full/6ee69c7f1f216f93c53df8ac20bb1d1b2a61a05a.jpg', 'checksum': '902cccf884d4b99e16628155b1e4052d', 'status': 'downloaded'}]"
"REDMI 9 Power (Mighty Black, 64 GB)(4 GB RAM)","₹7,199                                             ",https://cdn.shopclues.com/images1/thumbnails/113508/280/1/152122368-113508212-1616752667.jpg,13% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/113508/280/1/152122368-113508212-1616752667.jpg', 'path': 'full/ba7803c9449b49a4ea97074468043521e82e4264.jpg', 'checksum': '01b0c31bcebd81fa117f7d0ec1dbda95', 'status': 'downloaded'}]"
Vivo Y1S Assorted Colour 2 GB RAM 32 ROM 4030 mAh Battery 6.22 Display,"₹8,399",https://cdn.shopclues.com/images1/thumbnails/108093/280/1/150185379-108093010-1592898487.jpg,38% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/108093/280/1/150185379-108093010-1592898487.jpg', 'path': 'full/61beec4ce3cec286c7683165de6dd9726920c450.jpg', 'checksum': '9d824eafea4a7679e4a0758f1e3f29db', 'status': 'downloaded'}]"
"Oppo A15s (4 GB RAM, 64 GB ROM)","₹8,174                                             ",https://cdn.shopclues.com/images1/thumbnails/110807/280/1/151026058-110807176-1601706861.jpg,31% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/110807/280/1/151026058-110807176-1601706861.jpg', 'path': 'full/da3817d55c01d16875c032f7e6e20c5c3a08f6ec.jpg', 'checksum': '58f4e6f49a5faca6ae87ae15c3cbb5d8', 'status': 'downloaded'}]"
"I KALL K200 4G Smartphone with 2GB Ram, 16GB Storage, 5.5 Inch Display","₹9,374",https://cdn.shopclues.com/images1/thumbnails/106955/280/1/149777643-106955049-1593024830.jpg,42% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/106955/280/1/149777643-106955049-1593024830.jpg', 'path': 'full/acf415b40319963e50013d45209ab1060315f28f.jpg', 'checksum': 'c6c81c089b4ff86bdbd2b29dbafbdb5e', 'status': 'downloaded'}]"
Realme C20 2 GB 32 GB (Cool Blue),"₹12,099                                             ",https://cdn.shopclues.com/images1/thumbnails/103915/280/1/148464435-103915652-1628496589.jpg,49% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/103915/280/1/148464435-103915652-1628496589.jpg', 'path': 'full/366a86767a9e0b78227408bd9723a3d067322475.jpg', 'checksum': '473bfba64d49f406cb03bbdd753e0b67', 'status': 'downloaded'}]"
Redmi 9 Power 64 GB 4 GB RAM (Blazing Blue),"₹13,100",https://cdn.shopclues.com/images1/thumbnails/111898/280/1/151364463-111898251-1604390720.jpg,48% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/111898/280/1/151364463-111898251-1604390720.jpg', 'path': 'full/0729eca50a9d9e7987b6ca2cd8f237ddd9b74b8a.jpg', 'checksum': '10db15a952edc358841e8e165753cf13', 'status': 'downloaded'}]"
I KALL K201 6.26 Inch Display 2 GB RAM  16 GB ROM Smart Phone,"₹7,299                                             ",https://cdn.shopclues.com/images1/thumbnails/101672/280/1/147149880-101672233-1562581566.jpg,38% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/101672/280/1/147149880-101672233-1562581566.jpg', 'path': 'full/cf4e84d64e540ad528cb828345c94e7087624f0d.jpg', 'checksum': '88f6ef906ad9cc535677d386da0ab04d', 'status': 'downloaded'}]"
I KALL K380 4 GB RAM 32 GB ROM 7.12 Inch Display Smart Phone,"₹8,499",https://cdn.shopclues.com/images1/thumbnails/110895/280/1/151057008-110895153-1602225329.jpg,33% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/110895/280/1/151057008-110895153-1602225329.jpg', 'path': 'full/d6b73945b7fd22c7833f792cc8d690c0c3453c34.jpg', 'checksum': '7a8f2d5b9d0b1c6fa197bbe606c2de8c', 'status': 'downloaded'}]"
I Kall K900 5.5 inches(13.97 cm) Display 4Gb Ram 64Gb Storage Dual Sim Smartphone,"₹11,999                                             ",https://cdn.shopclues.com/images1/thumbnails/101673/280/1/147150040-101673088-1604489899.jpg,33% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/101673/280/1/147150040-101673088-1604489899.jpg', 'path': 'full/cdfbec063f7fd1a9581e90c800dc83f66ca22f56.jpg', 'checksum': 'd5b39ee3b32f1b5a3527dae64d9cb6bc', 'status': 'downloaded'}]"
"I Kall K500 Smartphone (4Gb Ram, 64Gb Internal Memory, Dual Sim 4G Volte) (Flame Red)","₹13,199",https://cdn.shopclues.com/images1/thumbnails/104121/280/1/148627528-104121575-1577175348.jpg,43% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/104121/280/1/148627528-104121575-1577175348.jpg', 'path': 'full/92702ba127aac9fc247ad0f6e87e53d6fcdafbc1.jpg', 'checksum': '59039ae88ba5222880b351cba28490a9', 'status': 'downloaded'}]"
I Kall K280 6.26 Inches Display 3+32 Smartphone,"₹4,098                                             ",https://cdn.shopclues.com/images1/thumbnails/96847/280/1/143606265-96847526-1596616251.jpg,41% Off,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/96847/280/1/143606265-96847526-1596616251.jpg', 'path': 'full/74bcd176b369c1ce85a0771ae9e58315c36cc96f.jpg', 'checksum': '622110ea2f78c5817f0b6438bb885f56', 'status': 'downloaded'}]"
